,classe,num_sample,accuracy,f1_score,precision,recall
0,1,458,0.6790393013100436,0.735224586288416,0.8015463917525774,0.6790393013100436
1,2,210,0.719047619047619,0.7587939698492463,0.8031914893617021,0.719047619047619
2,3,266,0.8533834586466166,0.7082683307332291,0.6053333333333333,0.8533834586466166
3,4,716,0.755586592178771,0.8147590361445782,0.8839869281045751,0.755586592178771
4,5,337,0.8219584569732937,0.7557980900409277,0.6994949494949495,0.8219584569732937
5,6,19,0.21052631578947367,0.22857142857142856,0.25,0.21052631578947367
6,7,69,0.7391304347826086,0.6035502958579881,0.51,0.7391304347826086
